1	1.png	0.0313725	0.564706	0.52549	0.384314	0.529412	0.321569	0.427451	0.470588	0.141176	0.552941	0.54902	0.462745	0.145098	0.4	0.803922	0.490196
2	2.png	0.0313725	0.556863	0.52549	0.384314	0.52549	0.317647	0.443137	0.470588	0.141176	0.545098	0.54902	0.462745	0.141176	0.435294	0.792157	0.47451
3	3.png	0.0313725	0.545098	0.521569	0.384314	0.517647	0.313725	0.454902	0.470588	0.141176	0.541176	0.545098	0.462745	0.14902	0.415686	0.8	0.482353
4	4.png	0.0313725	0.541176	0.517647	0.380392	0.513725	0.313725	0.466667	0.466667	0.141176	0.533333	0.545098	0.458824	0.145098	0.447059	0.764706	0.490196
5	5.png	0.0313725	0.537255	0.517647	0.372549	0.509804	0.305882	0.47451	0.470588	0.141176	0.529412	0.541176	0.458824	0.141176	0.47451	0.764706	0.509804
6	6.png	0.0352941	0.533333	0.517647	0.360784	0.505882	0.298039	0.482353	0.47451	0.141176	0.521569	0.541176	0.454902	0.141176	0.423529	0.780392	0.537255
7	7.png	0.0352941	0.529412	0.517647	0.352941	0.501961	0.294118	0.486275	0.482353	0.141176	0.521569	0.537255	0.454902	0.137255	0.439216	0.752941	0.52549
8	8.png	0.0352941	0.52549	0.513725	0.34902	0.501961	0.286275	0.494118	0.490196	0.141176	0.517647	0.537255	0.45098	0.133333	0.470588	0.760784	0.494118
9	9.png	0.0352941	0.521569	0.509804	0.34902	0.498039	0.286275	0.501961	0.501961	0.141176	0.517647	0.537255	0.447059	0.133333	0.490196	0.768627	0.541176
10	10.png	0.0352941	0.513725	0.505882	0.345098	0.498039	0.286275	0.517647	0.509804	0.141176	0.513725	0.537255	0.443137	0.133333	0.482353	0.776471	0.533333
11	11.png	0.0352941	0.509804	0.501961	0.345098	0.498039	0.286275	0.52549	0.517647	0.145098	0.509804	0.533333	0.443137	0.133333	0.47451	0.768627	0.521569
12	12.png	0.0352941	0.505882	0.498039	0.341176	0.494118	0.282353	0.533333	0.521569	0.145098	0.505882	0.529412	0.439216	0.129412	0.501961	0.784314	0.498039
13	13.png	0.0352941	0.498039	0.498039	0.337255	0.494118	0.282353	0.545098	0.529412	0.145098	0.501961	0.52549	0.435294	0.129412	0.490196	0.803922	0.533333
14	14.png	0.0352941	0.494118	0.494118	0.333333	0.494118	0.278431	0.552941	0.537255	0.145098	0.498039	0.52549	0.435294	0.129412	0.454902	0.788235	0.521569
15	15.png	0.0352941	0.486275	0.490196	0.329412	0.494118	0.278431	0.564706	0.541176	0.145098	0.494118	0.521569	0.431373	0.121569	0.490196	0.768627	0.47451
16	16.png	0.0352941	0.47451	0.490196	0.321569	0.494118	0.278431	0.580392	0.54902	0.145098	0.490196	0.521569	0.431373	0.129412	0.47451	0.784314	0.52549
17	17.png	0.0352941	0.466667	0.486275	0.317647	0.494118	0.282353	0.592157	0.54902	0.145098	0.482353	0.517647	0.427451	0.12549	0.498039	0.768627	0.466667
18	18.png	0.0352941	0.454902	0.486275	0.313725	0.498039	0.278431	0.607843	0.552941	0.145098	0.47451	0.521569	0.423529	0.129412	0.466667	0.760784	0.505882
19	19.png	0.0392157	0.447059	0.482353	0.309804	0.498039	0.278431	0.623529	0.556863	0.145098	0.470588	0.517647	0.423529	0.133333	0.470588	0.768627	0.521569
20	20.png	0.0392157	0.435294	0.478431	0.309804	0.498039	0.282353	0.635294	0.556863	0.14902	0.466667	0.517647	0.423529	0.133333	0.47451	0.792157	0.596078
21	21.png	0.0392157	0.427451	0.478431	0.309804	0.501961	0.286275	0.643137	0.556863	0.14902	0.458824	0.517647	0.423529	0.133333	0.509804	0.772549	0.54902
22	22.png	0.0392157	0.415686	0.478431	0.309804	0.501961	0.290196	0.65098	0.552941	0.14902	0.454902	0.517647	0.427451	0.133333	0.466667	0.768627	0.556863
23	23.png	0.0392157	0.411765	0.478431	0.313725	0.501961	0.294118	0.658824	0.552941	0.14902	0.447059	0.521569	0.427451	0.137255	0.47451	0.768627	0.576471
24	24.png	0.0392157	0.403922	0.478431	0.321569	0.505882	0.301961	0.662745	0.54902	0.14902	0.443137	0.52549	0.431373	0.133333	0.454902	0.780392	0.619608
25	25.png	0.0352941	0.403922	0.478431	0.32549	0.505882	0.309804	0.662745	0.545098	0.14902	0.439216	0.52549	0.431373	0.133333	0.470588	0.772549	0.603922
26	26.png	0.0352941	0.403922	0.482353	0.333333	0.505882	0.313725	0.658824	0.537255	0.14902	0.439216	0.529412	0.435294	0.137255	0.529412	0.745098	0.545098
